source-Code,target-Code
AFN,AFN
EUR,EUR
ALL,ALL
DZD,DZD
USD,USD
EUR,EUR
AOA,AOA
XCD,XCD
XCD,XCD
ARS,ARS
AMD,AMD
AWG,AWG
AUD,AUD
EUR,EUR
AZN,AZN
BSD,BSD
BHD,BHD
BDT,BDT
BBD,BBD
BYN,BYN
EUR,EUR
BZD,BZD
XOF,XOF
BMD,BMD
BTN,BTN
BOV,BOV
BAM,BAM
BWP,BWP
NOK,NOK
BRL,BRL
USD,USD
BND,BND
BGN,BGN
XOF,XOF
BIF,BIF
CVE,CVE
KHR,KHR
XAF,XAF
CAD,CAD
KYD,KYD
XAF,XAF
XAF,XAF
CLP,CLP
CNY,CNY
AUD,AUD
AUD,AUD
COP,COP
KMF,KMF
CDF,CDF
NZD,NZD
CRC,CRC
XOF,XOF
HRK,HRK
CUP,CUP
ANG,ANG
EUR,EUR
CZK,CZK
DKK,DKK
DJF,DJF
XCD,XCD
DOP,DOP
USD,USD
EGP,EGP
SVC,SVC
XAF,XAF
ERN,ERN
EUR,EUR
SZL,SZL
ETB,ETB
EUR,EUR
DKK,DKK
FJD,FJD
EUR,EUR
EUR,EUR
XAF,XAF
GMD,GMD
GEL,GEL
EUR,EUR
GHS,GHS
GIP,GIP
EUR,EUR
DKK,DKK
XCD,XCD
EUR,EUR
USD,USD
GTQ,GTQ
GBP,GBP
GNF,GNF
XOF,XOF
GYD,GYD
HTG,HTG
AUD,AUD
EUR,EUR
HNL,HNL
HKD,HKD
HUF,HUF
ISK,ISK
INR,INR
IDR,IDR
IRR,IRR
IQD,IQD
EUR,EUR
GBP,GBP
EUR,EUR
JMD,JMD
JPY,JPY
GBP,GBP
JOD,JOD
KZT,KZT
KES,KES
AUD,AUD
KRW,KRW
KWD,KWD
KGS,KGS
LAK,LAK
EUR,EUR
LBP,LBP
LSL,LSL
LRD,LRD
LYD,LYD
CHF,CHF
EUR,EUR
EUR,EUR
MOP,MOP
MKD,MKD
MGA,MGA
MWK,MWK
MYR,MYR
MVR,MVR
XOF,XOF
EUR,EUR
USD,USD
EUR,EUR
MRU,MRU
MUR,MUR
EUR,EUR
MXN,MXN
USD,USD
MDL,MDL
EUR,EUR
MNT,MNT
EUR,EUR
XCD,XCD
MAD,MAD
MZN,MZN
MMK,MMK
NAD,NAD
AUD,AUD
NPR,NPR
EUR,EUR
XPF,XPF
NZD,NZD
NIO,NIO
XOF,XOF
NGN,NGN
NZD,NZD
AUD,AUD
USD,USD
NOK,NOK
OMR,OMR
PKR,PKR
USD,USD
PAB,PAB
PGK,PGK
PYG,PYG
PEN,PEN
PHP,PHP
NZD,NZD
PLN,PLN
EUR,EUR
USD,USD
QAR,QAR
EUR,EUR
RON,RON
RUB,RUB
RWF,RWF
EUR,EUR
XCD,XCD
XCD,XCD
EUR,EUR
EUR,EUR
XCD,XCD
WST,WST
EUR,EUR
STN,STN
SAR,SAR
XOF,XOF
RSD,RSD
SCR,SCR
SLL,SLL
SGD,SGD
ANG,ANG
EUR,EUR
EUR,EUR
SBD,SBD
SOS,SOS
ZAR,ZAR
SSP,SSP
EUR,EUR
LKR,LKR
SDG,SDG
SRD,SRD
NOK,NOK
SEK,SEK
CHF,CHF
SYP,SYP
TWD,TWD
TJS,TJS
THB,THB
USD,USD
XOF,XOF
NZD,NZD
TOP,TOP
TTD,TTD
TND,TND
TRY,TRY
TMT,TMT
USD,USD
AUD,AUD
UGX,UGX
UAH,UAH
AED,AED
GBP,GBP
USD,USD
USD,USD
UYU,UYU
UYI,UYI
UZS,UZS
VUV,VUV
VES,VES
VND,VND
USD,USD
XPF,XPF
MAD,MAD
YER,YER
ZMW,ZMW
ZWL,ZWL
